name;phone;email;course;country;university;work;where_from
somf4eone11;75646579e78;guigiug@mail;CCNA2;Ukraine;knu;doctor;
somf44eottne21;75646579e78;guigiug@m3ail;CCNA1;Russia;knu;doctor;fyguhijo
so4fmeone31;7564657978;guigiug@mail;CCNA2;Ukraine;knu;doctor;fyguhijo
so4ttfme;7564657978;guigiug@mail;CCNA1;Russia;knu;doctor;fyguhijo
so4fmeone51;7564657978;guigiug@mail;ITN;Ukraine;knu;doctor;
sotmf4eone61;7564657978;guigiyug@mail;Linux;Russia;knu;doctor;fyguhijo
somf4e1;75t64657978;guigiug@tmail;ITN;Kazakhstan;knu;doctor;
somefo4nes81;7564657978;guigiug@mail;ITN;Ukraine;knu;doctor;fyguhijo
some2f4;75f64657978;guigiug@mail;CCNA1;Kazakhstan;knu;doctor;fyguhijo
someofene104;7564657978;guigiug@mail;CCNA1;Ukraine;knu;doctor;
